State,County,Violent Crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson1,
CALIFORNIA - Metropolitan Counties,Kern,2001.0,39.0,125.0,512.0,1325.0,10458.0,3596.0,5360.0,1502.0,330.0,
CALIFORNIA - Metropolitan Counties,Kings,211.0,3.0,11.0,20.0,177.0,493.0,197.0,267.0,29.0,10.0,
CALIFORNIA - Metropolitan Counties,Los Angeles,6540.0,102.0,209.0,1895.0,4334.0,18043.0,5033.0,8645.0,4365.0,314.0,
CALIFORNIA - Metropolitan Counties,Madera,229.0,2.0,20.0,27.0,180.0,1191.0,506.0,677.0,8.0,2.0,
CALIFORNIA - Metropolitan Counties,Marin,121.0,0.0,3.0,33.0,85.0,885.0,269.0,613.0,3.0,3.0,
CALIFORNIA - Metropolitan Counties,Merced,490.0,14.0,26.0,54.0,396.0,1923.0,689.0,1215.0,19.0,13.0,
CALIFORNIA - Metropolitan Counties,Monterey,203.0,8.0,26.0,54.0,115.0,1693.0,669.0,1002.0,22.0,12.0,
CALIFORNIA - Metropolitan Counties,Napa,35.0,0.0,6.0,1.0,28.0,367.0,129.0,237.0,1.0,2.0,
CALIFORNIA - Metropolitan Counties,Orange,219.0,1.0,13.0,38.0,167.0,1296.0,243.0,940.0,113.0,11.0,
CALIFORNIA - Metropolitan Counties,Placer,315.0,4.0,27.0,26.0,258.0,1951.0,660.0,1258.0,33.0,14.0,
CALIFORNIA - Metropolitan Counties,Riverside,1225.0,23.0,74.0,293.0,835.0,10554.0,3057.0,5718.0,1779.0,26.0,
CALIFORNIA - Metropolitan Counties,Sacramento,3183.0,29.0,176.0,1189.0,1789.0,15610.0,4725.0,10721.0,164.0,129.0,
CALIFORNIA - Metropolitan Counties,San Benito,67.0,0.0,4.0,8.0,55.0,259.0,100.0,154.0,5.0,2.0,
CALIFORNIA - Metropolitan Counties,San Bernardino,1165.0,22.0,66.0,192.0,885.0,5835.0,2104.0,2614.0,1117.0,104.0,
CALIFORNIA - Metropolitan Counties,San Diego,1592.0,9.0,88.0,276.0,1219.0,5956.0,1693.0,3204.0,1059.0,41.0,
CALIFORNIA - Metropolitan Counties,San Joaquin,1058.0,10.0,34.0,195.0,819.0,4480.0,1569.0,2805.0,106.0,20.0,
CALIFORNIA - Metropolitan Counties,San Luis Obispo,199.0,3.0,21.0,20.0,155.0,1188.0,416.0,763.0,9.0,8.0,
CALIFORNIA - Metropolitan Counties,San Mateo,194.0,1.0,8.0,40.0,145.0,1636.0,221.0,1227.0,188.0,7.0,
CALIFORNIA - Metropolitan Counties,Santa Barbara,246.0,0.0,24.0,21.0,201.0,1673.0,647.0,1020.0,6.0,7.0,
CALIFORNIA - Metropolitan Counties,Santa Clara,268.0,3.0,30.0,30.0,205.0,1716.0,404.0,1125.0,187.0,3.0,
CALIFORNIA - Metropolitan Counties,Santa Cruz,291.0,2.0,18.0,40.0,231.0,2479.0,804.0,1663.0,12.0,21.0,
CALIFORNIA - Metropolitan Counties,Shasta,512.0,1.0,36.0,35.0,440.0,1034.0,542.0,478.0,14.0,9.0,
CALIFORNIA - Metropolitan Counties,Solano,90.0,2.0,7.0,16.0,65.0,381.0,218.0,157.0,6.0,16.0,
CALIFORNIA - Metropolitan Counties,Sonoma,553.0,6.0,45.0,51.0,451.0,1537.0,597.0,930.0,10.0,30.0,
CALIFORNIA - Metropolitan Counties,Stanislaus,507.0,14.0,27.0,122.0,344.0,3360.0,1418.0,1644.0,298.0,198.0,
CALIFORNIA - Metropolitan Counties,Sutter,120.0,0.0,8.0,10.0,102.0,527.0,155.0,338.0,34.0,1.0,
CALIFORNIA - Metropolitan Counties,Tulare5,553.0,16.0,31.0,93.0,413.0,,1187.0,1966.0,,28.0,
CALIFORNIA - Metropolitan Counties,Ventura,189.0,6.0,20.0,26.0,137.0,1271.0,352.0,836.0,83.0,18.0,
CALIFORNIA - Metropolitan Counties,Yolo,39.0,0.0,6.0,5.0,28.0,344.0,120.0,218.0,6.0,4.0,
CALIFORNIA - Metropolitan Counties,Yuba,190.0,2.0,17.0,29.0,142.0,830.0,314.0,502.0,14.0,17.0,
CALIFORNIA - Nonmetropolitan Counties,Alpine,13.0,0.0,1.0,1.0,11.0,60.0,11.0,49.0,0.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Amador,60.0,1.0,6.0,4.0,49.0,467.0,218.0,247.0,2.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Calaveras,68.0,1.0,14.0,14.0,39.0,597.0,247.0,347.0,3.0,8.0,
CALIFORNIA - Nonmetropolitan Counties,Colusa,36.0,1.0,8.0,2.0,25.0,287.0,101.0,178.0,8.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Del Norte,77.0,1.0,17.0,5.0,54.0,287.0,145.0,140.0,2.0,5.0,
CALIFORNIA - Nonmetropolitan Counties,Glenn,9.0,0.0,1.0,3.0,5.0,117.0,55.0,61.0,1.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Humboldt,272.0,7.0,12.0,38.0,215.0,1126.0,342.0,763.0,21.0,17.0,
CALIFORNIA - Nonmetropolitan Counties,Inyo,60.0,2.0,8.0,6.0,44.0,145.0,56.0,88.0,1.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Lake,170.0,2.0,24.0,17.0,127.0,803.0,383.0,406.0,14.0,5.0,
CALIFORNIA - Nonmetropolitan Counties,Lassen,26.0,0.0,3.0,1.0,22.0,110.0,36.0,74.0,0.0,3.0,
CALIFORNIA - Nonmetropolitan Counties,Mariposa,48.0,0.0,3.0,1.0,44.0,278.0,106.0,171.0,1.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Mendocino,326.0,5.0,23.0,21.0,277.0,528.0,227.0,297.0,4.0,12.0,
CALIFORNIA - Nonmetropolitan Counties,Modoc,8.0,0.0,1.0,0.0,7.0,64.0,33.0,30.0,1.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Mono,10.0,0.0,1.0,0.0,9.0,76.0,24.0,52.0,0.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Nevada,165.0,0.0,23.0,8.0,134.0,638.0,207.0,427.0,4.0,5.0,
CALIFORNIA - Nonmetropolitan Counties,Plumas,121.0,1.0,19.0,5.0,96.0,311.0,120.0,186.0,5.0,2.0,
CALIFORNIA - Nonmetropolitan Counties,Sierra,13.0,0.0,0.0,0.0,13.0,43.0,15.0,28.0,0.0,1.0,
CALIFORNIA - Nonmetropolitan Counties,Siskiyou,63.0,1.0,9.0,6.0,47.0,193.0,93.0,95.0,5.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Tehama,211.0,2.0,1.0,5.0,203.0,299.0,176.0,123.0,0.0,20.0,
CALIFORNIA - Nonmetropolitan Counties,Trinity,22.0,0.0,0.0,3.0,19.0,126.0,60.0,66.0,0.0,0.0,
CALIFORNIA - Nonmetropolitan Counties,Tuolumne,108.0,1.0,18.0,12.0,77.0,749.0,298.0,445.0,6.0,9.0,
COLORADO - Metropolitan Counties,Adams,407.0,5.0,61.0,54.0,287.0,2613.0,675.0,1431.0,507.0,24.0,
COLORADO - Metropolitan Counties,Arapahoe,218.0,0.0,19.0,44.0,155.0,1348.0,370.0,862.0,116.0,15.0,
COLORADO - Metropolitan Counties,Boulder,65.0,0.0,7.0,6.0,52.0,660.0,197.0,423.0,40.0,15.0,
COLORADO - Metropolitan Counties,Clear Creek,25.0,0.0,2.0,0.0,23.0,71.0,23.0,44.0,4.0,1.0,
COLORADO - Metropolitan Counties,Douglas,295.0,0.0,172.0,31.0,92.0,1709.0,426.0,1203.0,80.0,8.0,
COLORADO - Metropolitan Counties,Elbert,4.0,0.0,3.0,0.0,1.0,34.0,9.0,25.0,0.0,0.0,
COLORADO - Metropolitan Counties,El Paso,759.0,5.0,55.0,22.0,677.0,1824.0,585.0,1026.0,213.0,29.0,
COLORADO - Metropolitan Counties,Gilpin,18.0,0.0,1.0,1.0,16.0,38.0,5.0,28.0,5.0,0.0,
COLORADO - Metropolitan Counties,Jefferson,176.0,5.0,43.0,13.0,115.0,2630.0,474.0,1981.0,175.0,27.0,
COLORADO - Metropolitan Counties,Larimer,102.0,0.0,36.0,7.0,59.0,1085.0,236.0,768.0,81.0,16.0,
COLORADO - Metropolitan Counties,Mesa,185.0,2.0,28.0,16.0,139.0,1467.0,367.0,964.0,136.0,8.0,
COLORADO - Metropolitan Counties,Park,8.0,0.0,1.0,0.0,7.0,114.0,41.0,63.0,10.0,2.0,
COLORADO - Metropolitan Counties,Pueblo,32.0,1.0,0.0,6.0,25.0,1258.0,241.0,972.0,45.0,4.0,
COLORADO - Metropolitan Counties,Teller,22.0,0.0,5.0,0.0,17.0,79.0,23.0,51.0,5.0,2.0,
COLORADO - Metropolitan Counties,Weld,120.0,1.0,16.0,6.0,97.0,871.0,270.0,457.0,144.0,6.0,
COLORADO - Nonmetropolitan Counties,Alamosa,1.0,0.0,0.0,0.0,1.0,58.0,15.0,43.0,0.0,1.0,
COLORADO - Nonmetropolitan Counties,Archuleta,22.0,1.0,6.0,0.0,15.0,103.0,33.0,64.0,6.0,0.0,
COLORADO - Nonmetropolitan Counties,Baca,5.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,
COLORADO - Nonmetropolitan Counties,Bent,3.0,0.0,1.0,0.0,2.0,20.0,3.0,13.0,4.0,0.0,
COLORADO - Nonmetropolitan Counties,Chaffee,10.0,0.0,0.0,0.0,10.0,81.0,24.0,50.0,7.0,0.0,
COLORADO - Nonmetropolitan Counties,Cheyenne,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,
