State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3
CALIFORNIA-Nonmetropolitan Counties,Mendocino,319,4,,15,34,266,716,318,393,5,13
CALIFORNIA-Nonmetropolitan Counties,Modoc,19,0,,2,0,17,104,43,61,0,1
CALIFORNIA-Nonmetropolitan Counties,Mono,14,0,,4,0,10,93,40,51,2,0
CALIFORNIA-Nonmetropolitan Counties,Nevada,132,1,,7,7,117,597,224,370,3,1
CALIFORNIA-Nonmetropolitan Counties,Plumas4,,1,,14,6,,405,164,235,6,
CALIFORNIA-Nonmetropolitan Counties,Sierra,15,0,,0,0,15,69,28,37,4,0
CALIFORNIA-Nonmetropolitan Counties,Siskiyou,50,0,,6,0,44,217,86,128,3,9
CALIFORNIA-Nonmetropolitan Counties,Tehama,192,0,,5,4,183,416,234,182,0,20
CALIFORNIA-Nonmetropolitan Counties,Trinity,21,2,,0,5,14,112,69,42,1,0
CALIFORNIA-Nonmetropolitan Counties,Tuolumne,108,1,,13,12,82,875,423,449,3,7
COLORADO-Metropolitan Counties,Adams,404,1,,75,48,280,3036,641,1793,602,27
COLORADO-Metropolitan Counties,Arapahoe,225,0,,22,27,176,1548,405,961,182,26
COLORADO-Metropolitan Counties,Boulder,45,0,,8,0,37,583,171,362,50,13
COLORADO-Metropolitan Counties,Clear Creek,28,0,,4,0,24,88,27,55,6,4
COLORADO-Metropolitan Counties,Douglas,175,2,,43,20,110,2089,474,1542,73,6
COLORADO-Metropolitan Counties,Elbert,7,0,,0,0,7,44,12,27,5,0
COLORADO-Metropolitan Counties,El Paso,856,1,,66,32,757,2104,544,1303,257,28
COLORADO-Metropolitan Counties,Gilpin,18,0,,0,0,18,40,8,31,1,0
COLORADO-Metropolitan Counties,Jefferson,256,2,,41,17,196,3049,615,2209,225,29
COLORADO-Metropolitan Counties,Larimer,96,2,,17,7,70,986,209,663,114,6
COLORADO-Metropolitan Counties,Mesa,152,2,,13,17,120,1365,347,879,139,15
COLORADO-Metropolitan Counties,Park,32,1,,4,0,27,108,46,48,14,2
COLORADO-Metropolitan Counties,Pueblo,14,1,,3,1,9,1362,295,1015,52,3
COLORADO-Metropolitan Counties,Teller,17,1,,1,0,15,77,22,49,6,1
COLORADO-Metropolitan Counties,Weld,143,0,,13,4,126,924,329,482,113,8
COLORADO-Nonmetropolitan Counties,Alamosa,9,0,,3,0,6,38,6,32,0,1
COLORADO-Nonmetropolitan Counties,Archuleta,14,0,,1,0,13,105,36,65,4,1
COLORADO-Nonmetropolitan Counties,Baca,2,0,,0,0,2,1,0,1,0,0
COLORADO-Nonmetropolitan Counties,Bent,1,0,,0,0,1,30,10,16,4,1
COLORADO-Nonmetropolitan Counties,Chaffee,9,0,,1,0,8,90,11,69,10,1
COLORADO-Nonmetropolitan Counties,Crowley,5,0,,0,0,5,0,0,0,0,0
COLORADO-Nonmetropolitan Counties,Custer,7,0,,0,0,7,38,7,30,1,0
COLORADO-Nonmetropolitan Counties,Delta,7,0,,4,0,3,126,24,81,21,0
COLORADO-Nonmetropolitan Counties,Dolores,0,0,,0,0,0,16,4,12,0,0
COLORADO-Nonmetropolitan Counties,Eagle,68,0,,7,5,56,502,98,400,4,9
COLORADO-Nonmetropolitan Counties,Fremont,29,1,,1,0,27,239,64,163,12,2
COLORADO-Nonmetropolitan Counties,Garfield,73,0,,6,1,66,289,76,175,38,8
COLORADO-Nonmetropolitan Counties,Grand,10,0,,0,0,10,156,30,125,1,0
COLORADO-Nonmetropolitan Counties,Gunnison,13,0,,0,0,13,37,14,20,3,0
COLORADO-Nonmetropolitan Counties,Hinsdale,0,0,,0,0,0,8,0,8,0,0
COLORADO-Nonmetropolitan Counties,Huerfano,5,0,,0,1,4,129,7,107,15,0
COLORADO-Nonmetropolitan Counties,Jackson,2,0,,0,0,2,18,2,14,2,0
COLORADO-Nonmetropolitan Counties,Kiowa,1,0,,0,0,1,2,1,1,0,0
COLORADO-Nonmetropolitan Counties,Lake,10,0,,1,2,7,17,6,6,5,1
COLORADO-Nonmetropolitan Counties,La Plata,28,0,,9,0,19,270,107,139,24,0
COLORADO-Nonmetropolitan Counties,Las Animas,4,0,,0,0,4,2,0,2,0,0
COLORADO-Nonmetropolitan Counties,Logan,3,0,,1,0,2,50,17,30,3,1
COLORADO-Nonmetropolitan Counties,Mineral,0,0,,0,0,0,1,0,0,1,0
COLORADO-Nonmetropolitan Counties,Moffat,12,0,,0,0,12,27,9,17,1,2
COLORADO-Nonmetropolitan Counties,Montezuma,35,2,,0,1,32,161,61,87,13,1
COLORADO-Nonmetropolitan Counties,Montrose,24,1,,2,1,20,176,61,100,15,0
COLORADO-Nonmetropolitan Counties,Morgan,0,0,,0,0,0,53,9,39,5,0
COLORADO-Nonmetropolitan Counties,Ouray,8,0,,0,0,8,29,7,21,1,0
COLORADO-Nonmetropolitan Counties,Phillips,0,0,,0,0,0,3,1,2,0,0
COLORADO-Nonmetropolitan Counties,Pitkin,17,0,,5,0,12,125,23,95,7,0
COLORADO-Nonmetropolitan Counties,Prowers,5,0,,2,0,3,29,5,21,3,0
COLORADO-Nonmetropolitan Counties,Routt,12,0,,0,0,12,34,6,22,6,1
COLORADO-Nonmetropolitan Counties,Saguache,8,0,,0,0,8,14,7,5,2,1
COLORADO-Nonmetropolitan Counties,San Juan,0,0,,0,0,0,26,2,23,1,0
COLORADO-Nonmetropolitan Counties,San Miguel,6,0,,0,0,6,50,13,33,4,0
COLORADO-Nonmetropolitan Counties,Sedgwick,2,0,,0,0,2,8,2,6,0,0
COLORADO-Nonmetropolitan Counties,Summit,38,0,,6,1,31,303,41,258,4,2
COLORADO-Nonmetropolitan Counties,Washington,2,0,,0,0,2,39,7,23,9,0
COLORADO-Nonmetropolitan Counties,Yuma,7,0,,0,0,7,35,14,16,5,0
DELAWARE-Metropolitan Counties,New Castle County Police Department,1519,9,,77,364,1069,7084,1782,4569,733,9
FLORIDA-Metropolitan Counties,Alachua,1041,1,,52,156,832,3812,1262,2283,267,23
FLORIDA-Metropolitan Counties,Baker,100,3,,5,4,88,326,28,277,21,0
FLORIDA-Metropolitan Counties,Bay,392,0,,41,35,316,2349,572,1608,169,6
FLORIDA-Metropolitan Counties,Brevard,1209,14,,79,163,953,5907,1353,4172,382,32
FLORIDA-Metropolitan Counties,Broward,438,7,,29,128,274,1146,222,826,98,8
FLORIDA-Metropolitan Counties,Charlotte,585,10,,28,69,478,4372,975,3151,246,5
FLORIDA-Metropolitan Counties,Clay,819,5,,48,100,666,4161,920,2953,288,23
FLORIDA-Metropolitan Counties,Collier,1297,15,,58,233,991,5063,1337,3361,365,49
FLORIDA-Metropolitan Counties,Escambia,2032,17,,120,518,1377,9730,2391,6493,846,43
FLORIDA-Metropolitan Counties,Flagler,214,3,,15,43,153,2186,564,1474,148,8
FLORIDA-Metropolitan Counties,Gadsden,289,1,,12,34,242,773,478,223,72,0
FLORIDA-Metropolitan Counties,Gilchrist5,27,0,,0,0,27,,67,,17,1
FLORIDA-Metropolitan Counties,Hernando,653,1,,73,70,509,5080,1587,3173,320,20
FLORIDA-Metropolitan Counties,Hillsborough,4799,35,,232,1302,3230,29766,6742,19817,3207,107
FLORIDA-Metropolitan Counties,Indian River,304,2,,26,68,208,2547,617,1754,176,6
FLORIDA-Metropolitan Counties,Jefferson,112,1,,6,6,99,134,68,63,3,1
FLORIDA-Metropolitan Counties,Lake,776,2,,56,49,669,3529,1185,1986,358,39
FLORIDA-Metropolitan Counties,Lee,2004,25,,111,555,1313,13303,4414,7602,1287,99
FLORIDA-Metropolitan Counties,Leon,380,0,,32,69,279,1666,733,775,158,42
FLORIDA-Metropolitan Counties,Manatee,2160,15,,81,458,1606,10940,2467,7651,822,41
FLORIDA-Metropolitan Counties,Marion,1493,8,,109,92,1284,5130,1608,3152,370,9
FLORIDA-Metropolitan Counties,Martin,476,2,,11,135,328,3192,673,2348,171,11
FLORIDA-Metropolitan Counties,Miami-Dade,8614,84,,353,2679,5498,52483,9737,35866,6880,89
FLORIDA-Metropolitan Counties,Nassau4,,1,,9,23,,1254,407,719,128,8
FLORIDA-Metropolitan Counties,Okaloosa,465,1,,32,94,338,3798,863,2706,229,5
FLORIDA-Metropolitan Counties,Orange,7051,58,,354,2463,4176,32116,8783,18872,4461,0
FLORIDA-Metropolitan Counties,Osceola,849,11,,12,187,639,6669,2806,3402,461,5
FLORIDA-Metropolitan Counties,Palm Beach,2997,32,,181,938,1846,18858,5016,11692,2150,121
FLORIDA-Metropolitan Counties,Pasco,1582,14,,115,295,1158,13075,3738,8312,1025,55
FLORIDA-Metropolitan Counties,Pinellas,1305,10,,135,228,932,7607,1981,5007,619,9
FLORIDA-Metropolitan Counties,Polk,1676,16,,103,301,1256,10384,3461,6038,885,0
FLORIDA-Metropolitan Counties,Santa Rosa,309,4,,49,23,233,1579,476,1008,95,8
FLORIDA-Metropolitan Counties,Sarasota,772,12,,58,160,542,8485,1908,6076,501,8
FLORIDA-Metropolitan Counties,Seminole,627,8,,55,91,473,3648,978,2299,371,9
FLORIDA-Metropolitan Counties,St. Johns,537,3,,15,63,456,3906,1164,2491,251,10
FLORIDA-Metropolitan Counties,St. Lucie,326,6,,24,45,251,1853,570,1148,135,9
FLORIDA-Metropolitan Counties,Volusia,943,5,,75,171,692,5632,1802,3225,605,20
FLORIDA-Metropolitan Counties,Wakulla,99,1,,8,6,84,651,229,372,50,6
FLORIDA-Nonmetropolitan Counties,Bradford,88,0,,8,5,75,362,178,150,34,0
FLORIDA-Nonmetropolitan Counties,Calhoun,16,1,,2,0,13,79,35,37,7,0
FLORIDA-Nonmetropolitan Counties,Citrus,366,4,,24,29,309,2420,638,1634,148,25
FLORIDA-Nonmetropolitan Counties,Columbia,236,2,,9,23,202,1702,576,1018,108,0
FLORIDA-Nonmetropolitan Counties,DeSoto,189,3,,4,15,167,809,404,357,48,7
FLORIDA-Nonmetropolitan Counties,Dixie,73,2,,10,1,60,392,144,220,28,4
FLORIDA-Nonmetropolitan Counties,Franklin,12,0,,0,1,11,106,41,56,9,1
FLORIDA-Nonmetropolitan Counties,Glades,48,0,,1,7,40,324,115,179,30,5
FLORIDA-Nonmetropolitan Counties,Gulf,93,0,,4,3,86,233,78,142,13,2
FLORIDA-Nonmetropolitan Counties,Hamilton,44,0,,4,5,35,226,98,117,11,0
FLORIDA-Nonmetropolitan Counties,Hardee,72,2,,6,12,52,629,172,402,55,0
FLORIDA-Nonmetropolitan Counties,Hendry,263,5,,10,42,206,1111,466,521,124,4
FLORIDA-Nonmetropolitan Counties,Highlands,173,5,,14,37,117,1921,769,1006,146,9
FLORIDA-Nonmetropolitan Counties,Holmes,55,2,,7,3,43,197,54,125,18,0
FLORIDA-Nonmetropolitan Counties,Jackson,220,6,,14,11,189,638,218,372,48,1
