State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(revised definition)1,Rape(legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3
MICHIGAN-Nonmetropolitan Counties,Isabella,39,0,,14,0,25,456,173,263,20,5
MICHIGAN-Nonmetropolitan Counties,Kalkaska,56,0,,4,0,52,254,59,176,19,0
MICHIGAN-Nonmetropolitan Counties,Keweenaw,2,0,,0,0,2,42,19,22,1,1
MICHIGAN-Nonmetropolitan Counties,Lake,40,0,,7,3,30,312,154,150,8,1
MICHIGAN-Nonmetropolitan Counties,Leelanau,18,0,,3,2,13,147,45,97,5,3
MICHIGAN-Nonmetropolitan Counties,Lenawee,51,1,,11,2,37,404,196,205,3,7
MICHIGAN-Nonmetropolitan Counties,Luce,4,0,,1,1,2,26,7,17,2,0
MICHIGAN-Nonmetropolitan Counties,Mackinac,6,0,,0,0,6,69,33,33,3,0
MICHIGAN-Nonmetropolitan Counties,Manistee,10,0,,2,0,8,92,28,63,1,1
MICHIGAN-Nonmetropolitan Counties,Marquette,5,0,,0,0,5,146,31,109,6,0
MICHIGAN-Nonmetropolitan Counties,Mason,42,1,,11,1,29,525,115,403,7,1
MICHIGAN-Nonmetropolitan Counties,Mecosta,35,0,,10,1,24,471,111,333,27,0
MICHIGAN-Nonmetropolitan Counties,Menominee,5,0,,1,0,4,101,39,56,6,1
MICHIGAN-Nonmetropolitan Counties,Midland,73,0,,30,1,42,507,122,362,23,4
MICHIGAN-Nonmetropolitan Counties,Missaukee,14,0,,3,0,11,132,28,96,8,0
MICHIGAN-Nonmetropolitan Counties,Montcalm,91,2,,35,0,54,623,214,358,51,9
MICHIGAN-Nonmetropolitan Counties,Montmorency,10,0,,0,0,10,83,40,38,5,2
MICHIGAN-Nonmetropolitan Counties,Oceana,14,0,,6,1,7,243,67,165,11,3
MICHIGAN-Nonmetropolitan Counties,Ogemaw,20,0,,4,0,16,243,108,122,13,4
MICHIGAN-Nonmetropolitan Counties,Ontonagon,4,0,,0,0,4,35,11,21,3,1
MICHIGAN-Nonmetropolitan Counties,Osceola,23,0,,2,1,20,177,64,109,4,0
MICHIGAN-Nonmetropolitan Counties,Oscoda,6,0,,1,1,4,200,43,151,6,0
MICHIGAN-Nonmetropolitan Counties,Otsego,2,0,,0,0,2,74,16,55,3,0
MICHIGAN-Nonmetropolitan Counties,Presque Isle,0,0,,0,0,0,33,18,15,0,1
MICHIGAN-Nonmetropolitan Counties,Roscommon,25,0,,7,1,17,232,47,176,9,2
MICHIGAN-Nonmetropolitan Counties,Sanilac,24,0,,5,0,19,141,49,87,5,0
MICHIGAN-Nonmetropolitan Counties,Shiawassee,57,0,,20,3,34,419,107,290,22,3
MICHIGAN-Nonmetropolitan Counties,St. Joseph,51,1,,10,2,38,301,84,202,15,6
MICHIGAN-Nonmetropolitan Counties,Tuscola,33,0,,11,0,22,327,122,182,23,6
MICHIGAN-Nonmetropolitan Counties,Wexford,25,0,,10,1,14,355,57,280,18,3
MINNESOTA-Metropolitan Counties7,Benton,,0,,,0,12,245,54,172,19,2
MINNESOTA-Metropolitan Counties7,Carver,,0,,,3,23,1002,118,841,43,13
MINNESOTA-Metropolitan Counties7,Chisago,,0,,,1,16,563,103,422,38,1
MINNESOTA-Metropolitan Counties7,Clay,,0,,,0,9,104,42,55,7,0
MINNESOTA-Metropolitan Counties7,Dakota,,0,,,2,12,220,66,134,20,2
MINNESOTA-Metropolitan Counties7,Dodge,,0,,,0,9,252,38,208,6,0
MINNESOTA-Metropolitan Counties7,Hennepin,,0,,,0,21,159,33,111,15,0
MINNESOTA-Metropolitan Counties7,Houston,,0,,,0,3,88,25,53,10,0
MINNESOTA-Metropolitan Counties7,Isanti,,0,,,1,14,535,194,290,51,2
MINNESOTA-Metropolitan Counties7,Olmsted,,0,,,5,25,467,156,270,41,18
MINNESOTA-Metropolitan Counties7,Polk,,0,,,0,18,219,74,131,14,2
MINNESOTA-Metropolitan Counties7,Ramsey,,1,,,8,39,1234,167,909,158,9
MINNESOTA-Metropolitan Counties7,Scott,,0,,,2,12,184,46,118,20,1
MINNESOTA-Metropolitan Counties7,Sherburne,,2,,,1,46,761,160,563,38,0
MINNESOTA-Metropolitan Counties7,Stearns,,0,,,1,34,478,96,359,23,2
MINNESOTA-Metropolitan Counties7,St. Louis,,1,,,2,38,792,304,421,67,7
MINNESOTA-Metropolitan Counties7,Washington,,0,,,5,39,1085,230,800,55,2
MINNESOTA-Metropolitan Counties7,Wright,,1,,,8,67,2177,219,1809,149,7
MINNESOTA-Nonmetropolitan Counties7,Aitkin,,1,,,0,13,411,132,250,29,1
MINNESOTA-Nonmetropolitan Counties7,Becker,,1,,,2,11,317,143,149,25,2
MINNESOTA-Nonmetropolitan Counties7,Beltrami,,0,,,6,61,522,156,327,39,1
MINNESOTA-Nonmetropolitan Counties7,Big Stone,,0,,,1,2,46,9,34,3,1
MINNESOTA-Nonmetropolitan Counties7,Blue Earth,,1,,,0,5,224,62,130,32,0
MINNESOTA-Nonmetropolitan Counties7,Cass5,,2,,,4,27,,166,,56,0
MINNESOTA-Nonmetropolitan Counties7,Clearwater,,0,,,1,17,171,41,119,11,1
MINNESOTA-Nonmetropolitan Counties7,Cook,,0,,,0,4,134,22,99,13,2
MINNESOTA-Nonmetropolitan Counties7,Cottonwood,,1,,,0,1,48,21,23,4,0
MINNESOTA-Nonmetropolitan Counties7,Crow Wing,,1,,,2,21,426,106,295,25,0
MINNESOTA-Nonmetropolitan Counties7,Douglas,,0,,,1,12,289,65,210,14,3
MINNESOTA-Nonmetropolitan Counties7,Faribault,,1,,,0,2,65,30,29,6,0
MINNESOTA-Nonmetropolitan Counties7,Fillmore,,0,,,1,5,118,41,67,10,0
MINNESOTA-Nonmetropolitan Counties7,Freeborn,,0,,,0,7,108,27,70,11,0
MINNESOTA-Nonmetropolitan Counties7,Goodhue,,0,,,0,10,338,123,190,25,2
MINNESOTA-Nonmetropolitan Counties7,Grant,,0,,,0,1,73,24,47,2,1
MINNESOTA-Nonmetropolitan Counties7,Hubbard,,0,,,1,14,385,147,216,22,1
MINNESOTA-Nonmetropolitan Counties7,Itasca,,0,,,2,31,443,123,278,42,4
MINNESOTA-Nonmetropolitan Counties7,Jackson,,0,,,1,2,30,8,22,0,0
MINNESOTA-Nonmetropolitan Counties7,Kanabec,,0,,,1,22,236,83,128,25,4
MINNESOTA-Nonmetropolitan Counties7,Kandiyohi,,1,,,0,12,280,57,208,15,1
MINNESOTA-Nonmetropolitan Counties7,Kittson,,0,,,0,1,59,4,52,3,0
MINNESOTA-Nonmetropolitan Counties7,Koochiching,,0,,,0,9,166,33,113,20,2
MINNESOTA-Nonmetropolitan Counties7,Lac Qui Parle,,0,,,0,4,45,3,39,3,0
MINNESOTA-Nonmetropolitan Counties7,Lake,,0,,,0,0,80,30,49,1,0
MINNESOTA-Nonmetropolitan Counties7,Lake of the Woods,,0,,,0,5,105,18,82,5,0
MINNESOTA-Nonmetropolitan Counties7,Le Sueur,,0,,,1,8,126,15,104,7,2
MINNESOTA-Nonmetropolitan Counties7,Lyon,,0,,,0,4,65,26,33,6,1
MINNESOTA-Nonmetropolitan Counties7,Martin,,0,,,0,0,34,10,18,6,0
MINNESOTA-Nonmetropolitan Counties7,McLeod,,0,,,1,14,133,48,73,12,2
MINNESOTA-Nonmetropolitan Counties7,Meeker,,0,,,2,8,214,61,142,11,0
MINNESOTA-Nonmetropolitan Counties7,Mille Lacs,,0,,,0,28,406,73,287,46,2
MINNESOTA-Nonmetropolitan Counties7,Morrison,,1,,,0,13,331,60,241,30,2
MINNESOTA-Nonmetropolitan Counties7,Mower,,0,,,1,17,194,56,118,20,2
MINNESOTA-Nonmetropolitan Counties7,Murray,,0,,,0,2,35,15,19,1,0
MINNESOTA-Nonmetropolitan Counties7,Nicollet,,0,,,0,2,61,12,44,5,1
MINNESOTA-Nonmetropolitan Counties7,Nobles,,0,,,0,3,99,58,38,3,0
MINNESOTA-Nonmetropolitan Counties7,Norman,,0,,,0,1,63,14,46,3,2
MINNESOTA-Nonmetropolitan Counties7,Otter Tail,,0,,,1,19,533,185,315,33,1
MINNESOTA-Nonmetropolitan Counties7,Pennington,,0,,,0,0,41,13,24,4,0
MINNESOTA-Nonmetropolitan Counties7,Pipestone,,0,,,0,1,60,8,48,4,0
MINNESOTA-Nonmetropolitan Counties7,Pope,,0,,,0,3,77,14,55,8,1
MINNESOTA-Nonmetropolitan Counties7,Red Lake,,0,,,0,1,12,1,10,1,0
MINNESOTA-Nonmetropolitan Counties7,Redwood,,0,,,0,7,102,19,65,18,2
MINNESOTA-Nonmetropolitan Counties7,Renville,,0,,,0,12,163,49,100,14,0
MINNESOTA-Nonmetropolitan Counties7,Rice,,0,,,0,10,288,127,140,21,2
MINNESOTA-Nonmetropolitan Counties7,Rock,,0,,,0,34,103,33,61,9,1
MINNESOTA-Nonmetropolitan Counties7,Roseau,,0,,,0,0,131,39,89,3,0
MINNESOTA-Nonmetropolitan Counties7,Steele,,0,,,0,6,157,60,78,19,0
MINNESOTA-Nonmetropolitan Counties7,Stevens,,0,,,1,1,25,11,13,1,0
MINNESOTA-Nonmetropolitan Counties7,Swift,,0,,,0,3,61,19,38,4,0
MINNESOTA-Nonmetropolitan Counties7,Todd,,0,,,0,6,251,109,127,15,2
MINNESOTA-Nonmetropolitan Counties7,Traverse,,0,,,0,0,15,0,13,2,1
MINNESOTA-Nonmetropolitan Counties7,Wadena,,0,,,0,5,86,34,44,8,0
MINNESOTA-Nonmetropolitan Counties7,Waseca,,2,,,0,3,72,24,45,3,2
MINNESOTA-Nonmetropolitan Counties7,Watonwan,,0,,,0,7,87,34,49,4,1
MINNESOTA-Nonmetropolitan Counties7,Wilkin,,0,,,0,0,46,12,27,7,2
MINNESOTA-Nonmetropolitan Counties7,Winona,,0,,,0,11,106,44,55,7,0
MINNESOTA-Nonmetropolitan Counties7,Yellow Medicine,,0,,,1,5,79,22,50,7,0
MISSISSIPPI-Metropolitan Counties,DeSoto,29,0,,4,6,19,604,108,406,90,5
MISSISSIPPI-Metropolitan Counties,Jackson,125,6,,15,16,88,2050,533,1231,286,0
MISSISSIPPI-Metropolitan Counties,Lamar,61,0,,21,14,26,757,262,446,49,1
MISSISSIPPI-Metropolitan Counties,Rankin,64,1,,8,5,50,702,280,387,35,5
MISSISSIPPI-Metropolitan Counties,Tate,10,1,,1,0,8,266,94,128,44,0
MISSISSIPPI-Metropolitan Counties,Tunica,99,3,,3,29,64,744,112,575,57,
MISSISSIPPI-Nonmetropolitan Counties,Adams,41,2,,10,6,23,529,169,310,50,12
MISSISSIPPI-Nonmetropolitan Counties,Chickasaw,21,2,,0,3,16,38,20,16,2,0
MISSISSIPPI-Nonmetropolitan Counties,Claiborne,33,0,,6,10,17,188,122,64,2,0
MISSISSIPPI-Nonmetropolitan Counties,Coahoma,7,0,,0,3,4,146,60,65,21,0
MISSISSIPPI-Nonmetropolitan Counties,Grenada,11,1,,1,4,5,131,37,63,31,1
MISSISSIPPI-Nonmetropolitan Counties,Jefferson,44,0,,1,4,39,45,22,22,1,5
MISSISSIPPI-Nonmetropolitan Counties,Lauderdale,34,1,,13,7,13,569,293,229,47,5
MISSISSIPPI-Nonmetropolitan Counties,Leake,0,0,,0,0,0,28,15,11,2,1
MISSISSIPPI-Nonmetropolitan Counties,Lee,77,0,,10,10,57,700,275,351,74,11
MISSISSIPPI-Nonmetropolitan Counties,Leflore,132,1,,9,6,116,580,244,306,30,0
MISSISSIPPI-Nonmetropolitan Counties,Lincoln,14,2,,1,1,10,337,71,238,28,2
MISSISSIPPI-Nonmetropolitan Counties,Lowndes,89,0,,32,18,39,495,126,338,31,2
MISSISSIPPI-Nonmetropolitan Counties,Oktibbeha6,50,0,,2,6,42,158,80,61,17,11
MISSISSIPPI-Nonmetropolitan Counties,Panola,55,0,,8,12,35,456,202,223,31,4
MISSISSIPPI-Nonmetropolitan Counties,Pearl River,24,1,,15,5,3,712,319,342,51,5
MISSISSIPPI-Nonmetropolitan Counties,Pike,33,2,,0,8,23,499,192,269,38,
MISSISSIPPI-Nonmetropolitan Counties,Tippah,24,3,,1,2,18,44,17,23,4,19
MISSISSIPPI-Nonmetropolitan Counties,Union,11,0,,1,2,8,211,112,87,12,5
MISSISSIPPI-Nonmetropolitan Counties,Warren,15,0,,2,2,11,339,118,181,40,0
MISSISSIPPI-Nonmetropolitan Counties,Washington,17,3,,3,4,7,340,119,194,27,3
MISSISSIPPI-Nonmetropolitan Counties,Winston,33,1,,1,1,30,25,10,14,1,0
MISSOURI-Metropolitan Counties,Andrew,14,0,,0,2,12,198,63,124,11,0
MISSOURI-Metropolitan Counties,Bates,20,0,,2,0,18,155,45,83,27,1
MISSOURI-Metropolitan Counties,Boone,126,0,,6,14,106,804,201,562,41,8
MISSOURI-Metropolitan Counties,Buchanan,37,0,,1,4,32,174,43,113,18,1
MISSOURI-Metropolitan Counties,Caldwell,5,0,,0,0,5,81,31,37,13,1
MISSOURI-Metropolitan Counties,Callaway,31,0,,6,1,24,775,186,532,57,5
MISSOURI-Metropolitan Counties,Cass,72,0,,5,0,67,431,139,243,49,0
MISSOURI-Metropolitan Counties,Christian,176,0,,2,0,174,273,78,158,37,2
MISSOURI-Metropolitan Counties,Clay,20,1,,1,2,16,198,80,102,16,4
MISSOURI-Metropolitan Counties,Clinton,8,1,,1,0,6,112,36,68,8,0
MISSOURI-Metropolitan Counties,Cole,29,1,,3,1,24,472,131,304,37,3
MISSOURI-Metropolitan Counties,Dallas,26,0,,2,2,22,217,96,107,14,7
MISSOURI-Metropolitan Counties,De Kalb,43,0,,1,0,42,82,30,44,8,2
MISSOURI-Metropolitan Counties,Franklin,64,1,,5,0,58,906,214,623,69,3
MISSOURI-Metropolitan Counties,Greene,282,1,,9,14,258,1445,333,1010,102,0
MISSOURI-Metropolitan Counties,Howard,16,1,,0,0,15,44,21,21,2,0
MISSOURI-Metropolitan Counties,Jackson,70,1,,5,17,47,612,192,335,85,0
MISSOURI-Metropolitan Counties,Jasper,106,1,,12,7,86,772,225,496,51,2
MISSOURI-Metropolitan Counties,Jefferson,396,2,,36,17,341,3418,377,2827,214,36
MISSOURI-Metropolitan Counties,Lafayette,12,0,,4,0,8,219,88,108,23,0
MISSOURI-Metropolitan Counties,Lincoln,71,0,,2,1,68,250,86,137,27,3
MISSOURI-Metropolitan Counties,McDonald,70,1,,7,3,59,368,99,228,41,9
MISSOURI-Metropolitan Counties,Moniteau6,20,0,,1,0,19,47,15,27,5,0
MISSOURI-Metropolitan Counties,Newton,78,3,,8,4,63,815,180,562,73,9
MISSOURI-Metropolitan Counties,Osage,6,0,,0,0,6,142,43,83,16,0
MISSOURI-Metropolitan Counties,Platte,37,0,,3,1,33,325,69,247,9,4
MISSOURI-Metropolitan Counties,Polk,28,1,,0,0,27,271,124,135,12,0
MISSOURI-Metropolitan Counties,St. Charles,234,3,,10,11,210,1490,372,1030,88,36
MISSOURI-Metropolitan Counties,St. Louis County Police Department,1290,15,,62,334,879,10688,2454,7186,1048,89
MISSOURI-Metropolitan Counties,Warren,55,0,,2,0,53,289,72,188,29,3
MISSOURI-Metropolitan Counties,Washington,50,0,,1,2,47,242,81,137,24,4
MISSOURI-Metropolitan Counties,Webster,43,0,,0,0,43,133,25,92,16,2
MISSOURI-Nonmetropolitan Counties,Adair,6,0,,0,0,6,18,5,12,1,0
MISSOURI-Nonmetropolitan Counties,Atchison,1,0,,0,0,1,11,7,3,1,1
MISSOURI-Nonmetropolitan Counties,Audrain,16,0,,2,3,11,186,48,131,7,1
MISSOURI-Nonmetropolitan Counties,Barry,41,2,,8,0,31,440,149,266,25,6
MISSOURI-Nonmetropolitan Counties,Barton,14,0,,3,0,11,80,19,61,0,0
MISSOURI-Nonmetropolitan Counties,Benton,35,0,,5,0,30,213,84,119,10,2
MISSOURI-Nonmetropolitan Counties,Bollinger,7,2,,1,0,4,98,27,70,1,0
MISSOURI-Nonmetropolitan Counties,Butler,74,0,,0,0,74,610,128,438,44,0
MISSOURI-Nonmetropolitan Counties,Camden,64,2,,1,3,58,460,123,302,35,3
MISSOURI-Nonmetropolitan Counties,Cape Girardeau,83,0,,3,2,78,283,70,198,15,3
MISSOURI-Nonmetropolitan Counties,Carroll,5,0,,1,0,4,38,15,20,3,0
MISSOURI-Nonmetropolitan Counties,Carter,8,0,,0,0,8,41,16,19,6,0
MISSOURI-Nonmetropolitan Counties,Cedar,3,0,,0,0,3,116,29,82,5,0
MISSOURI-Nonmetropolitan Counties,Clark,5,0,,0,0,5,51,21,23,7,2
MISSOURI-Nonmetropolitan Counties,Cooper,9,0,,0,0,9,145,27,100,18,0
MISSOURI-Nonmetropolitan Counties,Crawford,100,0,,8,0,92,181,79,92,10,0
MISSOURI-Nonmetropolitan Counties,Dade,10,0,,1,0,9,36,10,22,4,0
MISSOURI-Nonmetropolitan Counties,Daviess,7,0,,3,1,3,61,32,25,4,0
MISSOURI-Nonmetropolitan Counties,Dent,8,1,,1,0,6,128,49,72,7,2
MISSOURI-Nonmetropolitan Counties,Douglas,26,0,,4,0,22,90,35,40,15,2
MISSOURI-Nonmetropolitan Counties,Dunklin,19,0,,2,1,16,210,53,146,11,2
MISSOURI-Nonmetropolitan Counties,Gasconade,36,0,,1,0,35,99,47,42,10,3
MISSOURI-Nonmetropolitan Counties,Gentry,5,0,,0,0,5,43,22,16,5,0
MISSOURI-Nonmetropolitan Counties,Grundy,8,0,,0,0,8,71,40,28,3,2
MISSOURI-Nonmetropolitan Counties,Harrison,3,0,,0,0,3,55,26,25,4,2
MISSOURI-Nonmetropolitan Counties,Henry,39,1,,2,0,36,261,81,164,16,6
MISSOURI-Nonmetropolitan Counties,Hickory,2,0,,1,0,1,117,44,58,15,2
MISSOURI-Nonmetropolitan Counties,Holt,3,0,,0,0,3,84,31,43,10,0
MISSOURI-Nonmetropolitan Counties,Howell,72,0,,3,2,67,410,153,228,29,4
MISSOURI-Nonmetropolitan Counties,Iron,11,0,,0,0,11,59,33,21,5,0
MISSOURI-Nonmetropolitan Counties,Johnson,23,0,,2,0,21,314,101,189,24,0
MISSOURI-Nonmetropolitan Counties,Knox,7,0,,1,0,6,109,25,83,1,1
MISSOURI-Nonmetropolitan Counties,Laclede,18,0,,1,0,17,389,117,237,35,0
MISSOURI-Nonmetropolitan Counties,Lawrence,13,0,,1,1,11,291,99,177,15,1
MISSOURI-Nonmetropolitan Counties,Lewis,4,0,,0,0,4,67,15,46,6,0
MISSOURI-Nonmetropolitan Counties,Linn,10,0,,1,0,9,56,25,21,10,18
MISSOURI-Nonmetropolitan Counties,Livingston,2,0,,1,0,1,57,22,26,9,1
MISSOURI-Nonmetropolitan Counties,Macon,19,0,,0,1,18,57,17,36,4,2
MISSOURI-Nonmetropolitan Counties,Madison,5,0,,0,0,5,78,23,51,4,1
MISSOURI-Nonmetropolitan Counties,Maries,6,0,,0,1,5,70,31,33,6,0
MISSOURI-Nonmetropolitan Counties,Marion,5,0,,0,1,4,91,20,69,2,0
MISSOURI-Nonmetropolitan Counties,Mercer,5,0,,1,0,4,16,12,2,2,2
MISSOURI-Nonmetropolitan Counties,Miller6,86,0,,5,0,81,221,74,132,15,1
MISSOURI-Nonmetropolitan Counties,Mississippi,27,0,,0,1,26,82,21,50,11,0
MISSOURI-Nonmetropolitan Counties,Monroe,0,0,,0,0,0,54,16,31,7,0
MISSOURI-Nonmetropolitan Counties,Montgomery,10,0,,0,0,10,90,42,47,1,0
MISSOURI-Nonmetropolitan Counties,Morgan,163,0,,2,1,160,228,90,116,22,0
MISSOURI-Nonmetropolitan Counties,New Madrid,45,0,,3,4,38,113,27,68,18,1
MISSOURI-Nonmetropolitan Counties,Nodaway,2,0,,0,0,2,138,63,61,14,0
MISSOURI-Nonmetropolitan Counties,Oregon,18,0,,1,0,17,36,6,28,2,0
MISSOURI-Nonmetropolitan Counties,Ozark,26,1,,2,0,23,132,57,63,12,1
MISSOURI-Nonmetropolitan Counties,Pemiscot,10,0,,2,1,7,131,31,95,5,1
MISSOURI-Nonmetropolitan Counties,Perry,10,2,,0,0,8,69,12,42,15,0
MISSOURI-Nonmetropolitan Counties,Pettis,35,2,,0,2,31,249,67,180,2,2
MISSOURI-Nonmetropolitan Counties,Phelps,85,0,,2,1,82,381,117,223,41,1
MISSOURI-Nonmetropolitan Counties,Pike,15,0,,1,1,13,97,46,45,6,0
MISSOURI-Nonmetropolitan Counties,Pulaski,134,3,,19,4,108,234,98,109,27,0
MISSOURI-Nonmetropolitan Counties,Putnam,0,0,,0,0,0,8,3,3,2,0
MISSOURI-Nonmetropolitan Counties,Ralls,34,0,,2,0,32,115,33,67,15,1
MISSOURI-Nonmetropolitan Counties,Randolph,21,0,,2,0,19,127,47,76,4,1
MISSOURI-Nonmetropolitan Counties,Reynolds,4,0,,1,0,3,31,16,9,6,1
MISSOURI-Nonmetropolitan Counties,Ripley,15,0,,4,0,11,211,65,124,22,1
MISSOURI-Nonmetropolitan Counties,Saline,13,0,,5,0,8,111,32,70,9,0
MISSOURI-Nonmetropolitan Counties,Schuyler,4,0,,1,0,3,10,9,1,0,2
MISSOURI-Nonmetropolitan Counties,Scotland,0,0,,0,0,0,27,5,21,1,0
MISSOURI-Nonmetropolitan Counties,Scott,21,0,,2,1,18,158,33,110,15,3
MISSOURI-Nonmetropolitan Counties,Shannon,5,0,,1,0,4,64,10,44,10,1
MISSOURI-Nonmetropolitan Counties,Shelby,0,0,,0,0,0,63,17,40,6,0
MISSOURI-Nonmetropolitan Counties,Ste. Genevieve,21,1,,2,0,18,160,52,94,14,0
MISSOURI-Nonmetropolitan Counties,St. Francois,60,0,,4,1,55,487,130,312,45,4
MISSOURI-Nonmetropolitan Counties,Stoddard,28,0,,2,0,26,194,72,110,12,0
MISSOURI-Nonmetropolitan Counties,Stone,125,1,,6,1,117,568,187,334,47,1
MISSOURI-Nonmetropolitan Counties,Sullivan,4,0,,1,0,3,65,28,30,7,0
MISSOURI-Nonmetropolitan Counties,Taney,73,0,,4,1,68,463,141,272,50,1
MISSOURI-Nonmetropolitan Counties,Texas,38,2,,1,2,33,216,86,111,19,10
MISSOURI-Nonmetropolitan Counties,Vernon,40,0,,2,0,38,260,73,160,27,3
MISSOURI-Nonmetropolitan Counties,Wayne,11,0,,2,0,9,102,45,46,11,0
MISSOURI-Nonmetropolitan Counties,Worth,10,0,,2,0,8,29,13,12,4,0
MISSOURI-Nonmetropolitan Counties,Wright,40,0,,5,1,34,98,49,39,10,0
MONTANA-Metropolitan Counties,Carbon,10,0,,0,0,10,27,17,9,1,0
MONTANA-Metropolitan Counties,Cascade,62,1,,2,0,59,279,43,208,28,2
MONTANA-Metropolitan Counties,Missoula,87,0,,13,2,72,612,124,430,58,6
MONTANA-Metropolitan Counties,Yellowstone,57,1,,12,4,40,649,87,516,46,4
MONTANA-Nonmetropolitan Counties,Beaverhead,4,0,,0,0,4,42,8,28,6,0
MONTANA-Nonmetropolitan Counties,Big Horn,65,0,,3,0,62,235,10,200,25,2
MONTANA-Nonmetropolitan Counties,Blaine,4,0,,0,0,4,25,2,17,6,0
MONTANA-Nonmetropolitan Counties,Broadwater,15,0,,0,0,15,162,7,144,11,2
MONTANA-Nonmetropolitan Counties,Carter,0,0,,0,0,0,3,0,3,0,0
MONTANA-Nonmetropolitan Counties,Chouteau,5,1,,0,0,4,15,1,12,2,1
MONTANA-Nonmetropolitan Counties,Dawson,6,0,,3,0,3,76,10,65,1,1
MONTANA-Nonmetropolitan Counties,Deer Lodge,27,0,,4,0,23,99,9,79,11,0
MONTANA-Nonmetropolitan Counties,Fallon,1,0,,0,0,1,9,0,6,3,0
MONTANA-Nonmetropolitan Counties,Fergus,13,0,,2,0,11,15,5,9,1,1
MONTANA-Nonmetropolitan Counties,Flathead,241,2,,19,6,214,1168,225,879,64,6
MONTANA-Nonmetropolitan Counties,Gallatin,70,0,,19,1,50,445,59,337,49,14
MONTANA-Nonmetropolitan Counties,Garfield,0,0,,0,0,0,1,0,1,0,0
MONTANA-Nonmetropolitan Counties,Glacier,9,0,,0,0,9,50,8,35,7,0
MONTANA-Nonmetropolitan Counties,Granite,3,0,,0,0,3,47,3,42,2,0
MONTANA-Nonmetropolitan Counties,Hill,28,0,,1,0,27,153,10,130,13,2
MONTANA-Nonmetropolitan Counties,Jefferson,21,0,,0,0,21,58,14,36,8,1
MONTANA-Nonmetropolitan Counties,Judith Basin,6,0,,0,0,6,9,0,8,1,0
MONTANA-Nonmetropolitan Counties,Lake,70,2,,10,1,57,348,82,208,58,6
MONTANA-Nonmetropolitan Counties,Lewis and Clark,57,0,,10,1,46,350,87,227,36,11
MONTANA-Nonmetropolitan Counties,Lincoln,33,1,,5,0,27,240,70,158,12,2
MONTANA-Nonmetropolitan Counties,Madison,8,0,,0,0,8,64,17,39,8,0
MONTANA-Nonmetropolitan Counties,McCone,1,0,,0,0,1,15,1,14,0,0
MONTANA-Nonmetropolitan Counties,Meagher,6,0,,0,0,6,27,2,23,2,0
MONTANA-Nonmetropolitan Counties,Mineral,16,0,,1,0,15,29,8,17,4,0
MONTANA-Nonmetropolitan Counties,Musselshell,7,0,,2,0,5,83,6,74,3,0
MONTANA-Nonmetropolitan Counties,Park,19,0,,2,0,17,94,29,53,12,1
MONTANA-Nonmetropolitan Counties,Phillips,6,0,,0,0,6,63,10,49,4,0
MONTANA-Nonmetropolitan Counties,Pondera,1,0,,1,0,0,8,2,4,2,1
MONTANA-Nonmetropolitan Counties,Powell,27,0,,2,0,25,131,24,99,8,0
MONTANA-Nonmetropolitan Counties,Ravalli,48,0,,8,3,37,406,58,327,21,9
MONTANA-Nonmetropolitan Counties,Roosevelt,10,1,,0,0,9,32,11,18,3,1
MONTANA-Nonmetropolitan Counties,Rosebud,19,0,,1,0,18,66,7,57,2,1
MONTANA-Nonmetropolitan Counties,Sanders,31,0,,5,0,26,141,21,114,6,1
MONTANA-Nonmetropolitan Counties,Sheridan,5,1,,0,0,4,17,2,12,3,0
MONTANA-Nonmetropolitan Counties,Silver Bow,142,1,,7,12,122,1389,222,1044,123,4
MONTANA-Nonmetropolitan Counties,Stillwater,18,0,,3,0,15,38,22,13,3,1
MONTANA-Nonmetropolitan Counties,Sweet Grass,10,0,,0,0,10,39,1,33,5,1
MONTANA-Nonmetropolitan Counties,Teton,15,0,,1,0,14,87,6,78,3,1
MONTANA-Nonmetropolitan Counties,Toole,17,0,,0,0,17,56,10,41,5,1
MONTANA-Nonmetropolitan Counties,Valley,4,0,,0,2,2,56,10,42,4,0
MONTANA-Nonmetropolitan Counties,Wibaux,0,0,,0,0,0,3,0,3,0,0
NEBRASKA-Metropolitan Counties,Cass,10,0,,1,0,9,263,38,207,18,1
NEBRASKA-Metropolitan Counties,Dakota,1,0,,0,0,1,45,13,29,3,0
NEBRASKA-Metropolitan Counties,Dixon,3,0,,3,0,0,65,22,39,4,0
NEBRASKA-Metropolitan Counties,Douglas,171,1,,7,16,147,1347,361,893,93,0
NEBRASKA-Metropolitan Counties,Lancaster,23,1,,1,1,20,383,88,281,14,6
NEBRASKA-Metropolitan Counties,Seward,3,1,,1,0,1,42,10,24,8,0
NEBRASKA-Metropolitan Counties,Washington,5,0,,0,0,5,92,19,66,7,2
NEBRASKA-Nonmetropolitan Counties,Adams,4,0,,0,1,3,117,36,74,7,3
NEBRASKA-Nonmetropolitan Counties,Antelope,1,0,,0,0,1,37,14,18,5,0
NEBRASKA-Nonmetropolitan Counties,Box Butte,0,0,,0,0,0,9,1,6,2,0
NEBRASKA-Nonmetropolitan Counties,Boyd,0,0,,0,0,0,13,3,9,1,0
NEBRASKA-Nonmetropolitan Counties,Brown,2,0,,0,0,2,43,9,32,2,0
