State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,
ARKANSAS-Nonmetropolitan Counties,Woodruff,0.0,0.0,0.0,0.0,0.0,14.0,1.0,10.0,3.0,0.0,
ARKANSAS-Nonmetropolitan Counties,Yell,52.0,0.0,3.0,1.0,48.0,116.0,71.0,27.0,18.0,6.0,
CALIFORNIA-Metropolitan Counties,Alameda,683.0,6.0,27.0,293.0,357.0,2864.0,676.0,1275.0,913.0,33.0,
CALIFORNIA-Metropolitan Counties,Butte,217.0,5.0,21.0,34.0,157.0,1502.0,565.0,920.0,17.0,50.0,
CALIFORNIA-Metropolitan Counties,Contra Costa,666.0,11.0,42.0,218.0,395.0,3503.0,1147.0,2336.0,20.0,35.0,
CALIFORNIA-Metropolitan Counties,El Dorado,236.0,3.0,20.0,24.0,189.0,2034.0,652.0,1350.0,32.0,20.0,
CALIFORNIA-Metropolitan Counties,Fresno,618.0,17.0,33.0,149.0,419.0,6497.0,1705.0,3812.0,980.0,,
CALIFORNIA-Metropolitan Counties,Imperial,106.0,0.0,10.0,11.0,85.0,945.0,301.0,616.0,28.0,6.0,
CALIFORNIA-Metropolitan Counties,Kern,1918.0,28.0,92.0,400.0,1398.0,11001.0,3118.0,6352.0,1531.0,286.0,
CALIFORNIA-Metropolitan Counties,Kings,113.0,4.0,6.0,22.0,81.0,460.0,186.0,262.0,12.0,,
CALIFORNIA-Metropolitan Counties,Los Angeles,7784.0,127.0,218.0,2185.0,5254.0,20516.0,5293.0,9516.0,5707.0,455.0,
CALIFORNIA-Metropolitan Counties,Madera,310.0,1.0,13.0,18.0,278.0,1282.0,505.0,764.0,13.0,2.0,
CALIFORNIA-Metropolitan Counties,Marin,130.0,1.0,3.0,26.0,100.0,822.0,233.0,586.0,3.0,,
CALIFORNIA-Metropolitan Counties,Merced,451.0,8.0,26.0,40.0,377.0,2240.0,820.0,1406.0,14.0,17.0,
CALIFORNIA-Metropolitan Counties,Monterey,219.0,7.0,20.0,64.0,128.0,1952.0,599.0,1317.0,36.0,14.0,
CALIFORNIA-Metropolitan Counties,Napa,79.0,0.0,10.0,4.0,65.0,562.0,194.0,362.0,6.0,6.0,
CALIFORNIA-Metropolitan Counties,Orange,178.0,1.0,9.0,33.0,135.0,1481.0,296.0,1023.0,162.0,25.0,
CALIFORNIA-Metropolitan Counties,Placer,255.0,2.0,26.0,28.0,199.0,1997.0,634.0,1329.0,34.0,19.0,
CALIFORNIA-Metropolitan Counties,Riverside,2243.0,32.0,112.0,461.0,1638.0,14935.0,3829.0,8226.0,2880.0,61.0,
CALIFORNIA-Metropolitan Counties,Sacramento,3231.0,40.0,172.0,1251.0,1768.0,14912.0,4695.0,9928.0,289.0,111.0,
CALIFORNIA-Metropolitan Counties,San Benito,57.0,1.0,6.0,0.0,50.0,327.0,135.0,179.0,13.0,9.0,
CALIFORNIA-Metropolitan Counties,San Bernardino,1286.0,24.0,69.0,194.0,999.0,6569.0,2178.0,2990.0,1401.0,114.0,
CALIFORNIA-Metropolitan Counties,San Diego,1699.0,13.0,99.0,296.0,1291.0,7564.0,2055.0,3625.0,1884.0,58.0,
CALIFORNIA-Metropolitan Counties,San Joaquin,1081.0,12.0,30.0,234.0,805.0,5269.0,1751.0,3334.0,184.0,26.0,
CALIFORNIA-Metropolitan Counties,San Luis Obispo,239.0,0.0,29.0,16.0,194.0,1356.0,449.0,897.0,10.0,7.0,
CALIFORNIA-Metropolitan Counties,San Mateo,238.0,3.0,9.0,37.0,189.0,1598.0,214.0,1122.0,262.0,4.0,
CALIFORNIA-Metropolitan Counties,Santa Barbara,193.0,2.0,35.0,23.0,133.0,1602.0,486.0,1108.0,8.0,6.0,
CALIFORNIA-Metropolitan Counties,Santa Clara,321.0,3.0,31.0,36.0,251.0,1757.0,430.0,1078.0,249.0,5.0,
CALIFORNIA-Metropolitan Counties,Santa Cruz,256.0,4.0,21.0,33.0,198.0,2396.0,710.0,1674.0,12.0,29.0,
CALIFORNIA-Metropolitan Counties,Shasta,349.0,10.0,31.0,23.0,285.0,968.0,369.0,547.0,52.0,20.0,
CALIFORNIA-Metropolitan Counties,Solano,186.0,2.0,8.0,27.0,149.0,518.0,261.0,244.0,13.0,23.0,
CALIFORNIA-Metropolitan Counties,Sonoma,524.0,2.0,44.0,37.0,441.0,1726.0,705.0,997.0,24.0,22.0,
CALIFORNIA-Metropolitan Counties,Stanislaus,779.0,12.0,36.0,120.0,611.0,3826.0,1738.0,1634.0,454.0,253.0,
CALIFORNIA-Metropolitan Counties,Sutter,124.0,0.0,6.0,8.0,110.0,938.0,357.0,521.0,60.0,12.0,
CALIFORNIA-Metropolitan Counties,Tulare3,488.0,10.0,36.0,97.0,345.0,,783.0,2038.0,,,
CALIFORNIA-Metropolitan Counties,Ventura,184.0,1.0,13.0,24.0,146.0,1303.0,317.0,891.0,95.0,19.0,
CALIFORNIA-Metropolitan Counties,Yolo,30.0,3.0,1.0,7.0,19.0,389.0,145.0,223.0,21.0,10.0,
CALIFORNIA-Metropolitan Counties,Yuba,222.0,0.0,17.0,37.0,168.0,1138.0,513.0,606.0,19.0,20.0,
CALIFORNIA-Nonmetropolitan Counties,Alpine,15.0,1.0,1.0,0.0,13.0,74.0,15.0,59.0,0.0,0.0,
CALIFORNIA-Nonmetropolitan Counties,Amador,104.0,0.0,17.0,8.0,79.0,457.0,160.0,290.0,7.0,0.0,
CALIFORNIA-Nonmetropolitan Counties,Calaveras,48.0,0.0,18.0,9.0,21.0,633.0,254.0,374.0,5.0,3.0,
CALIFORNIA-Nonmetropolitan Counties,Colusa,34.0,0.0,2.0,0.0,32.0,310.0,82.0,219.0,9.0,0.0,
CALIFORNIA-Nonmetropolitan Counties,Del Norte,57.0,0.0,21.0,3.0,33.0,225.0,104.0,120.0,1.0,3.0,
CALIFORNIA-Nonmetropolitan Counties,Glenn,9.0,2.0,0.0,1.0,6.0,133.0,56.0,73.0,4.0,1.0,
CALIFORNIA-Nonmetropolitan Counties,Humboldt,136.0,1.0,17.0,17.0,101.0,894.0,246.0,626.0,22.0,4.0,
CALIFORNIA-Nonmetropolitan Counties,Inyo,104.0,0.0,2.0,0.0,102.0,132.0,5.0,126.0,1.0,2.0,
CALIFORNIA-Nonmetropolitan Counties,Lake,147.0,3.0,9.0,13.0,122.0,754.0,334.0,411.0,9.0,18.0,
CALIFORNIA-Nonmetropolitan Counties,Lassen,36.0,0.0,7.0,2.0,27.0,117.0,50.0,67.0,0.0,3.0,
CALIFORNIA-Nonmetropolitan Counties,Mariposa,31.0,0.0,6.0,1.0,24.0,306.0,101.0,205.0,0.0,0.0,
CALIFORNIA-Nonmetropolitan Counties,Mendocino,319.0,4.0,15.0,34.0,266.0,716.0,318.0,393.0,5.0,13.0,
CALIFORNIA-Nonmetropolitan Counties,Modoc,19.0,0.0,2.0,0.0,17.0,104.0,43.0,61.0,0.0,1.0,
CALIFORNIA-Nonmetropolitan Counties,Mono,14.0,0.0,4.0,0.0,10.0,93.0,40.0,51.0,2.0,0.0,
CALIFORNIA-Nonmetropolitan Counties,Nevada,132.0,1.0,7.0,7.0,117.0,597.0,224.0,370.0,3.0,1.0,
CALIFORNIA-Nonmetropolitan Counties,Plumas4,,1.0,14.0,6.0,,405.0,164.0,235.0,6.0,,
CALIFORNIA-Nonmetropolitan Counties,Sierra,15.0,0.0,0.0,0.0,15.0,69.0,28.0,37.0,4.0,0.0,
CALIFORNIA-Nonmetropolitan Counties,Siskiyou,50.0,0.0,6.0,0.0,44.0,217.0,86.0,128.0,3.0,9.0,
CALIFORNIA-Nonmetropolitan Counties,Tehama,192.0,0.0,5.0,4.0,183.0,416.0,234.0,182.0,0.0,20.0,
CALIFORNIA-Nonmetropolitan Counties,Trinity,21.0,2.0,0.0,5.0,14.0,112.0,69.0,42.0,1.0,0.0,
CALIFORNIA-Nonmetropolitan Counties,Tuolumne,108.0,1.0,13.0,12.0,82.0,875.0,423.0,449.0,3.0,7.0,
COLORADO-Metropolitan Counties,Adams,404.0,1.0,75.0,48.0,280.0,3036.0,641.0,1793.0,602.0,27.0,
COLORADO-Metropolitan Counties,Arapahoe,225.0,0.0,22.0,27.0,176.0,1548.0,405.0,961.0,182.0,26.0,
COLORADO-Metropolitan Counties,Boulder,45.0,0.0,8.0,0.0,37.0,583.0,171.0,362.0,50.0,13.0,
COLORADO-Metropolitan Counties,Clear Creek,28.0,0.0,4.0,0.0,24.0,88.0,27.0,55.0,6.0,4.0,
COLORADO-Metropolitan Counties,Douglas,175.0,2.0,43.0,20.0,110.0,2089.0,474.0,1542.0,73.0,6.0,
COLORADO-Metropolitan Counties,Elbert,7.0,0.0,0.0,0.0,7.0,44.0,12.0,27.0,5.0,0.0,
COLORADO-Metropolitan Counties,El Paso,856.0,1.0,66.0,32.0,757.0,2104.0,544.0,1303.0,257.0,28.0,
COLORADO-Metropolitan Counties,Gilpin,18.0,0.0,0.0,0.0,18.0,40.0,8.0,31.0,1.0,0.0,
COLORADO-Metropolitan Counties,Jefferson,256.0,2.0,41.0,17.0,196.0,3049.0,615.0,2209.0,225.0,29.0,
COLORADO-Metropolitan Counties,Larimer,96.0,2.0,17.0,7.0,70.0,986.0,209.0,663.0,114.0,6.0,
COLORADO-Metropolitan Counties,Mesa,152.0,2.0,13.0,17.0,120.0,1365.0,347.0,879.0,139.0,15.0,
COLORADO-Metropolitan Counties,Park,32.0,1.0,4.0,0.0,27.0,108.0,46.0,48.0,14.0,2.0,
COLORADO-Metropolitan Counties,Pueblo,14.0,1.0,3.0,1.0,9.0,1362.0,295.0,1015.0,52.0,3.0,
COLORADO-Metropolitan Counties,Teller,17.0,1.0,1.0,0.0,15.0,77.0,22.0,49.0,6.0,1.0,
COLORADO-Metropolitan Counties,Weld,143.0,0.0,13.0,4.0,126.0,924.0,329.0,482.0,113.0,8.0,
COLORADO-Nonmetropolitan Counties,Alamosa,9.0,0.0,3.0,0.0,6.0,38.0,6.0,32.0,0.0,1.0,
COLORADO-Nonmetropolitan Counties,Archuleta,14.0,0.0,1.0,0.0,13.0,105.0,36.0,65.0,4.0,1.0,
COLORADO-Nonmetropolitan Counties,Baca,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,
COLORADO-Nonmetropolitan Counties,Bent,1.0,0.0,0.0,0.0,1.0,30.0,10.0,16.0,4.0,1.0,
COLORADO-Nonmetropolitan Counties,Chaffee,9.0,0.0,1.0,0.0,8.0,90.0,11.0,69.0,10.0,1.0,
COLORADO-Nonmetropolitan Counties,Crowley,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,
COLORADO-Nonmetropolitan Counties,Custer,7.0,0.0,0.0,0.0,7.0,38.0,7.0,30.0,1.0,0.0,
COLORADO-Nonmetropolitan Counties,Delta,7.0,0.0,4.0,0.0,3.0,126.0,24.0,81.0,21.0,0.0,
COLORADO-Nonmetropolitan Counties,Dolores,0.0,0.0,0.0,0.0,0.0,16.0,4.0,12.0,0.0,0.0,
COLORADO-Nonmetropolitan Counties,Eagle,68.0,0.0,7.0,5.0,56.0,502.0,98.0,400.0,4.0,9.0,
COLORADO-Nonmetropolitan Counties,Fremont,29.0,1.0,1.0,0.0,27.0,239.0,64.0,163.0,12.0,2.0,
