State,County,Violentcrime,Murder andnonnegligentmanslaughter,Rape(reviseddefinition)1,Rape(legacydefinition)2,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny-theft,Motorvehicletheft,Arson3,
ARKANSAS - Nonmetropolitan Counties,Sevier,9.0,0.0,2.0,,0.0,7.0,226.0,79.0,130.0,17.0,1.0,
ARKANSAS - Nonmetropolitan Counties,St. Francis,19.0,0.0,0.0,,3.0,16.0,294.0,76.0,217.0,1.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Stone,13.0,0.0,4.0,,0.0,9.0,140.0,57.0,75.0,8.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Union,48.0,0.0,2.0,,3.0,43.0,388.0,103.0,258.0,27.0,2.0,
ARKANSAS - Nonmetropolitan Counties,Van Buren,34.0,0.0,1.0,,0.0,33.0,287.0,43.0,215.0,29.0,5.0,
ARKANSAS - Nonmetropolitan Counties,White,86.0,4.0,41.0,,3.0,38.0,905.0,336.0,474.0,95.0,4.0,
ARKANSAS - Nonmetropolitan Counties,Woodruff,1.0,0.0,0.0,,0.0,1.0,56.0,7.0,42.0,7.0,0.0,
ARKANSAS - Nonmetropolitan Counties,Yell,39.0,1.0,13.0,,2.0,23.0,228.0,72.0,140.0,16.0,4.0,
CALIFORNIA - Metropolitan Counties,Alameda4,588.0,2.0,26.0,,182.0,378.0,2111.0,540.0,887.0,684.0,8.0,
CALIFORNIA - Metropolitan Counties,Butte,82.0,9.0,,3.0,16.0,54.0,1119.0,581.0,525.0,13.0,0.0,
CALIFORNIA - Metropolitan Counties,Contra Costa,412.0,10.0,,37.0,107.0,258.0,2145.0,784.0,1341.0,20.0,14.0,
CALIFORNIA - Metropolitan Counties,El Dorado,240.0,3.0,,30.0,23.0,184.0,1969.0,625.0,1288.0,56.0,11.0,
CALIFORNIA - Metropolitan Counties,Fresno,735.0,10.0,,22.0,91.0,612.0,3368.0,1108.0,1702.0,558.0,150.0,
CALIFORNIA - Metropolitan Counties,Imperial,214.0,1.0,,6.0,9.0,198.0,584.0,247.0,316.0,21.0,5.0,
CALIFORNIA - Metropolitan Counties,Kern4,1982.0,26.0,109.0,,327.0,1520.0,9061.0,3127.0,4413.0,1521.0,199.0,
CALIFORNIA - Metropolitan Counties,Kings,144.0,5.0,,12.0,11.0,116.0,427.0,160.0,236.0,31.0,1.0,
CALIFORNIA - Metropolitan Counties,Los Angeles,5091.0,71.0,,201.0,1280.0,3539.0,15402.0,3949.0,7992.0,3461.0,198.0,
CALIFORNIA - Metropolitan Counties,Madera,383.0,3.0,,22.0,18.0,340.0,1162.0,504.0,621.0,37.0,7.0,
CALIFORNIA - Metropolitan Counties,Marin,91.0,2.0,,5.0,19.0,65.0,617.0,201.0,404.0,12.0,1.0,
CALIFORNIA - Metropolitan Counties,Merced,465.0,15.0,,9.0,32.0,409.0,1536.0,490.0,1003.0,43.0,12.0,
CALIFORNIA - Metropolitan Counties,Monterey,256.0,7.0,38.0,,32.0,179.0,1341.0,439.0,872.0,30.0,9.0,
CALIFORNIA - Metropolitan Counties,Napa,42.0,3.0,,7.0,2.0,30.0,272.0,121.0,147.0,4.0,3.0,
CALIFORNIA - Metropolitan Counties,Orange4,252.0,5.0,27.0,,23.0,197.0,1161.0,248.0,789.0,124.0,8.0,
CALIFORNIA - Metropolitan Counties,Placer,289.0,0.0,,26.0,26.0,237.0,1600.0,514.0,1049.0,37.0,8.0,
CALIFORNIA - Metropolitan Counties,Riverside,749.0,17.0,,56.0,144.0,532.0,6718.0,1972.0,3705.0,1041.0,22.0,
CALIFORNIA - Metropolitan Counties,Sacramento4,2978.0,44.0,181.0,,916.0,1837.0,11283.0,3820.0,7314.0,149.0,63.0,
CALIFORNIA - Metropolitan Counties,San Benito,60.0,1.0,,4.0,5.0,50.0,221.0,81.0,126.0,14.0,1.0,
CALIFORNIA - Metropolitan Counties,San Bernardino,972.0,18.0,65.0,,154.0,735.0,5206.0,1778.0,2311.0,1117.0,70.0,
CALIFORNIA - Metropolitan Counties,San Diego4,1315.0,13.0,78.0,,194.0,1030.0,4726.0,1335.0,2674.0,717.0,34.0,
CALIFORNIA - Metropolitan Counties,San Joaquin4,698.0,10.0,16.0,,147.0,525.0,3802.0,1254.0,2410.0,138.0,30.0,
CALIFORNIA - Metropolitan Counties,San Luis Obispo,265.0,2.0,,10.0,12.0,241.0,1226.0,521.0,696.0,9.0,3.0,
CALIFORNIA - Metropolitan Counties,San Mateo,264.0,1.0,,38.0,65.0,160.0,2427.0,491.0,1653.0,283.0,6.0,
CALIFORNIA - Metropolitan Counties,Santa Barbara,302.0,11.0,,41.0,32.0,218.0,1539.0,487.0,1047.0,5.0,13.0,
CALIFORNIA - Metropolitan Counties,Santa Clara,255.0,1.0,31.0,,20.0,203.0,1274.0,282.0,801.0,191.0,5.0,
CALIFORNIA - Metropolitan Counties,Santa Cruz,286.0,0.0,,20.0,29.0,237.0,1701.0,657.0,1035.0,9.0,15.0,
CALIFORNIA - Metropolitan Counties,Shasta4,569.0,3.0,49.0,,18.0,499.0,851.0,429.0,387.0,35.0,29.0,
CALIFORNIA - Metropolitan Counties,Solano,102.0,0.0,,1.0,16.0,85.0,390.0,192.0,168.0,30.0,9.0,
CALIFORNIA - Metropolitan Counties,Sonoma,613.0,2.0,,41.0,42.0,528.0,1365.0,525.0,829.0,11.0,11.0,
CALIFORNIA - Metropolitan Counties,Stanislaus,365.0,12.0,,14.0,103.0,236.0,2088.0,835.0,1200.0,53.0,15.0,
CALIFORNIA - Metropolitan Counties,Sutter,93.0,0.0,,3.0,13.0,77.0,630.0,217.0,385.0,28.0,7.0,
CALIFORNIA - Metropolitan Counties,Tulare4, 5,446.0,12.0,22.0,,74.0,338.0,1938.0,747.0,1191.0,0.0,0.0,
CALIFORNIA - Metropolitan Counties,Ventura4,119.0,2.0,25.0,,7.0,85.0,880.0,256.0,563.0,61.0,8.0,
