State,County,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,
CALIFORNIA-Metropolitan Counties,Tulare3,514.0,24.0,29.0,88.0,373.0,,1040.0,2414.0,,58.0,,
CALIFORNIA-Metropolitan Counties,Ventura,212.0,4.0,20.0,35.0,153.0,1326.0,345.0,891.0,90.0,24.0,,
CALIFORNIA-Metropolitan Counties,Yolo,45.0,2.0,5.0,9.0,29.0,344.0,125.0,210.0,9.0,2.0,,
CALIFORNIA-Metropolitan Counties,Yuba,240.0,6.0,18.0,36.0,180.0,1177.0,503.0,658.0,16.0,11.0,,
CALIFORNIA-Nonmetropolitan Counties,Alpine,14.0,1.0,2.0,0.0,11.0,72.0,14.0,58.0,0.0,0.0,,
CALIFORNIA-Nonmetropolitan Counties,Amador,62.0,0.0,14.0,5.0,43.0,609.0,229.0,366.0,14.0,3.0,,
CALIFORNIA-Nonmetropolitan Counties,Calaveras,83.0,0.0,6.0,14.0,63.0,650.0,290.0,351.0,9.0,4.0,,
CALIFORNIA-Nonmetropolitan Counties,Colusa,21.0,0.0,0.0,5.0,16.0,254.0,87.0,163.0,4.0,3.0,,
CALIFORNIA-Nonmetropolitan Counties,Del Norte,79.0,0.0,16.0,9.0,54.0,293.0,155.0,134.0,4.0,4.0,,
CALIFORNIA-Nonmetropolitan Counties,Glenn,8.0,0.0,0.0,0.0,8.0,141.0,51.0,88.0,2.0,0.0,,
CALIFORNIA-Nonmetropolitan Counties,Humboldt,137.0,1.0,13.0,20.0,103.0,954.0,273.0,654.0,27.0,8.0,,
CALIFORNIA-Nonmetropolitan Counties,Inyo,58.0,0.0,1.0,2.0,55.0,178.0,66.0,110.0,2.0,4.0,,
CALIFORNIA-Nonmetropolitan Counties,Lake,198.0,3.0,10.0,21.0,164.0,859.0,417.0,435.0,7.0,9.0,,
CALIFORNIA-Nonmetropolitan Counties,Lassen,34.0,0.0,7.0,3.0,24.0,148.0,54.0,92.0,2.0,5.0,,
CALIFORNIA-Nonmetropolitan Counties,Mariposa,42.0,1.0,3.0,0.0,38.0,257.0,96.0,159.0,2.0,2.0,,
CALIFORNIA-Nonmetropolitan Counties,Mendocino,336.0,5.0,16.0,34.0,281.0,632.0,297.0,331.0,4.0,17.0,,
CALIFORNIA-Nonmetropolitan Counties,Modoc,18.0,0.0,3.0,0.0,15.0,88.0,34.0,54.0,0.0,2.0,,
CALIFORNIA-Nonmetropolitan Counties,Mono,15.0,0.0,2.0,1.0,12.0,97.0,40.0,57.0,0.0,0.0,,
CALIFORNIA-Nonmetropolitan Counties,Nevada,164.0,1.0,14.0,11.0,138.0,538.0,205.0,327.0,6.0,1.0,,
